Supply_station,Sale_location,Postal_code,Municipality,Region,Type,Supertype,Sale_type,Quantity,Quantity_tons,Year,Use_category,Domestic_international,Comment,Ship_category,Use_category_eng,Population_region,Population_munic
Ólafsvík,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,25090,21.702849999999998,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Reykjavík,Baula í Stafholtst.hr.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,29925,25.885125,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Reykjavík,Bær í Bæjarsveit,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,39679,34.322335,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Reykjavík,Grund í Skorradal,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,18189,15.733485,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Reykjavík,Hreðavatn,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,913,0.789745,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Reykjavík,Húsafell,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,1516,1.31134,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Reykjavík,Reykholt,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,208106,180.01169000000002,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Reykjavík,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,169067,146.242955,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,3478
Akranes,Baula í Stafholtst.hr.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,1446,1.25079,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Akranes,Grund í Skorradal,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,9595,8.299674999999999,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Akranes,Reykholt,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,8214,7.10511,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Akranes,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,512,0.44288,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Ólafsvík,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,52629,45.524085,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Baula í Stafholtst.hr.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,2122,1.8355299999999999,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Bær í Bæjarsveit,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,1004,0.86846,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Grund í Skorradal,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,32130,27.792450000000002,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Hreðavatn,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,1272,1.10028,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Reykholt,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,0,0,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Reykholt,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,11306,9.77969,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,0,0,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,31782,27.49143,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Reykjavík,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Skipagasolía lituð,Gasolía,Sala utan svæðis - flj.,9042,7.82133,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,3478
Söludælur,Baula í Stafholtst.hr.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,531358,459.62467,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Söludælur,Hreðavatn,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,208668,180.49782000000002,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Söludælur,Húsafell,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,30656,26.517439999999997,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Söludælur,Reykholt,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,122693,106.12944499999999,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Söludælur,Vegamót á Snæfellsn.,311,"Borgarbyggð,Skorradalshreppur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,118613,102.600245,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,3478
Söludælur,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,47084,40.72765999999999,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1273
Reykjavík,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,1005,0.869325,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,1273
Vopnafjörður,Vopnafjörður,690,Vopnafjarðarhreppur,Austurland,MD-olía,Gasolía,Sala innan svæðis - flj.,700000,605.5,2011,Önnur notkun,Innanlands,Einni færslu skipt í tvennt til að geta flokkað betur,NA,Other uses,10086,664
Vopnafjörður,Vopnafjörður,690,Vopnafjarðarhreppur,Austurland,MD-olía,Gasolía,Sala innan svæðis - flj.,4098840,3545.4966,2011,Skip og bátar,Innanlands,Einni færslu skipt í tvennt til að geta flokkað betur,Stærri skip,Ships and boats,10086,664
Vopnafjörður,Vopnafjörður,690,Vopnafjarðarhreppur,Austurland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,241106.5,208.5571225,2011,Önnur notkun,Innanlands,Einni færslu skipt í tvennt til að geta flokkað betur,NA,Other uses,10086,664
Vopnafjörður,Vopnafjörður,690,Vopnafjarðarhreppur,Austurland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,241106.5,208.5571225,2011,Skip og bátar,Innanlands,Einni færslu skipt í tvennt til að geta flokkað betur,Litlir bátar,Ships and boats,10086,664
Reykjavík,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Skipagasolía,Gasolía,Sala utan svæðis - flj.,11088,9.59112,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1273
Reykjavík,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Skipagasolía lituð,Gasolía,Sala utan svæðis - flj.,1623,1.403895,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1273
Stykkishólmur,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,66442,57.47233,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1273
Stykkishólmur,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Skipagasolía,Gasolía,Sala innan svæðis - flj.,913863,790.491495,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1273
Stykkishólmur,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Skipagasolía lituð,Gasolía,Sala innan svæðis - flj.,171189,148.07848499999997,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1273
Söludælur,Stykkishólmur,340,"Eyja- og Miklaholtshreppur,Sveitarfélagið Stykkishólmur",Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,598724,517.89626,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1273
Söludælur,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,2106,1.82169,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,880
Söludælur,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,30005,25.954325,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,880
Grundarfjörður,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,102026,88.25249000000001,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,880
Ólafsvík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,587,0.507755,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,880
Reykjavík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,45996,39.78654,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,880
Grundarfjörður,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Skipagasolía,Gasolía,Sala ekki flutningsjöfnuð,30003,25.952595000000002,2011,Skip og bátar,Millilanda,NA,Stærri skip,Ships and boats,15369,880
Grundarfjörður,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,73598,63.66227,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,880
Grundarfjörður,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,MD-olía,Gasolía,Sala innan svæðis - flj.,163195,141.16367499999998,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,880
Grundarfjörður,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Skipagasolía,Gasolía,Sala innan svæðis - flj.,471159,407.552535,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,880
Grundarfjörður,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Skipagasolía lituð,Gasolía,Sala innan svæðis - flj.,308202,266.59472999999997,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,880
Ólafsvík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,640,0.5536,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,880
Ólafsvík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Skipagasolía,Gasolía,Sala utan svæðis - flj.,141293,122.21844499999999,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,880
