Supply_station,Sale_location,Postal_code,Municipality,Region,Type,Supertype,Sale_type,Quantity,Quantity_tons,Year,Use_category,Domestic_international,Comment,Ship_category,Use_category_eng,Population_region,Population_munic
Reykjavík,Hellissandur,360,Snæfellsbær,Vesturland,Skipagasolía lituð,Gasolía,Sala utan svæðis - flj.,248670,215.09955,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1702
Söludælur,Hellissandur,360,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,116681,100.92906500000001,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Söludælur,Búðardalur,370,Dalabyggð,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,44371,38.380915,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Akranes,Búðardalur,370,Dalabyggð,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,57256,49.52644,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Reykjavík,Búðardalur,370,Dalabyggð,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,246900,213.5685,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Stykkishólmur,Búðardalur,370,Dalabyggð,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,9204,7.96146,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Akranes,Búðardalur,370,Dalabyggð,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,7970,6.89405,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Reykjavík,Búðardalur,370,Dalabyggð,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,0,0,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Reykjavík,Búðardalur,370,Dalabyggð,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,85525,73.979125,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Stykkishólmur,Búðardalur,370,Dalabyggð,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,59659,51.605034999999994,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Söludælur,Búðardalur,370,Dalabyggð,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,504386,436.29389000000003,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,679
Söludælur,Skriðuland,371,Dalabyggð,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,52593,45.492945,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,679
Akranes,Búðardalur,370,Dalabyggð,Vesturland,Skipagasolía lituð,Gasolía,Sala utan svæðis - flj.,839,0.725735,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,679
Reykjavík,Búðardalur,370,Dalabyggð,Vesturland,Skipagasolía lituð,Gasolía,Sala utan svæðis - flj.,1094,0.94631,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,679
Söludælur,Skriðuland,371,Dalabyggð,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,9211,7.967515000000001,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Reykjavík,Skriðuland,371,Dalabyggð,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,11979,10.361835,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,679
Söludælur,Bjarkarlundur,380,Reykhólahreppur,Vestfirðir,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,1277,1.104605,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,6964,271
