Municipality,Region,Fuel_type,Fuel_supertype,Quantity_ton,Year,Use,Use_eng
Fjarðabyggð,Austurland,Svartolía,Svartolía,3609.842,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Svartolía,Svartolía,750.256,2010,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Svartolía,Svartolía,296.8,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Dieselolía,Gasolía,24.966495,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Reykjanesbær,Suðurnes,Svartolía,Svartolía,270.491,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Dieselolía,Gasolía,11.40243,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,2079,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1007.703,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Svartolía,Svartolía,1809.766,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,"Marine díselolía MD, flotaolía",Gasolía,1776.89,2016,Fiskimjölsverksmiðjur,Fishmeal plants
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,1686.395,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,2358.074,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,1615.475,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,2011,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1365.944,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,MD olía,Gasolía,29,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,1515.972,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,MD olía (dieselolía),Gasolía,13,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,1500,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,1262.2581699999998,2020,Úrgangur og efnamóttaka,Waste and chemical reception
Langanesbyggð,Norðurland eystra,Svartolía,Svartolía,2383.11,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1403.285,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,1233.56958,2019,Úrgangur og efnamóttaka,Waste and chemical reception
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,1405.297,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,2265.826,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Svartolía,Svartolía,769.617,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Reykjanesbær,Suðurnes,Svartolía,Svartolía,599.201,2011,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,2459.695,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1570.083,2013,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,1170.013705,2018,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,1143.0975,2017,Úrgangur og efnamóttaka,Waste and chemical reception
Fjarðabyggð,Austurland,Svartolía,Svartolía,1304.291,2010,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Gasolía,Gasolía,1081.25,2016,Úrgangur og efnamóttaka,Waste and chemical reception
Fjarðabyggð,Austurland,Svartolía,Svartolía,1170.634,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,1162.008,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Svartolía,Svartolía,1368.289,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Reykjanesbær,Suðurnes,Svartolía,Svartolía,1093.197,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Svartolía,Svartolía,1010.058,2013,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,901.13451,2017,Úrgangur og efnamóttaka,Waste and chemical reception
Reykjanesbær,Suðurnes,Svartolía,Svartolía,719.764,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,2615.79,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,"Marine díselolía MD, flotaolía",Gasolía,1000,2015,Fiskimjölsverksmiðjur,Fishmeal plants
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,998.221,2010,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,"Marine dieselolía MD, flotaolía",Gasolía,993.569,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,794.45,2014,Fiskimjölsverksmiðjur,Fishmeal plants
Vesturbyggð,Vestfirðir,Olía,Gasolía,824.8852963,2019,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Vesturbyggð,Vestfirðir,Olíunotkun,Gasolía,806.00181,2020,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Fjarðabyggð,Austurland,Svartolía,Svartolía,895.2,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1569.021,2014,Fiskimjölsverksmiðjur,Fishmeal plants
Vesturbyggð,Vestfirðir,Olía,Gasolía,755.1216450000001,2018,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Fjarðabyggð,Austurland,Svartolía,Svartolía,492.104,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1827.185,2015,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Svartolía,Svartolía,836.866,2011,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Gasolía,Gasolía,692,2013,Úrgangur og efnamóttaka,Waste and chemical reception
Vesturbyggð,Vestfirðir,olía,Gasolía,689.5053399999999,2017,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1600,2015,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,667.79557,2015,Úrgangur og efnamóttaka,Waste and chemical reception
Fjarðabyggð,Austurland,Gasolía,Gasolía,4.14508,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Flotaolía,Gasolía,767.9,2018,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Dieselolía,Gasolía,1.71097,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,658.0228000000001,2014,Úrgangur og efnamóttaka,Waste and chemical reception
Langanesbyggð,Norðurland eystra,MD olía,Gasolía,29,2012,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,980.513,2016,Fiskimjölsverksmiðjur,Fishmeal plants
Langanesbyggð,Norðurland eystra,Svartolía,Svartolía,1512.888,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Reykjanesbær,Suðurnes,Gasolía,Gasolía,3.5292,2013,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Gasolía,Gasolía,1.2975,2013,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,579.140855,2010,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,573.2839399999999,2018,Úrgangur og efnamóttaka,Waste and chemical reception
"Fljótsdalshreppur,Múlaþing",Austurland,Svartolía,Svartolía,550.104,2014,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Dieselolía,Gasolía,15.25341,2013,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,530.245,2011,Úrgangur og efnamóttaka,Waste and chemical reception
Reykjanesbær,Suðurnes,Svartolía,Svartolía,469.146,2014,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,511.77378999999996,2012,Úrgangur og efnamóttaka,Waste and chemical reception
Fjarðabyggð,Austurland,Svartolía,Svartolía,204.788,2014,Fiskimjölsverksmiðjur,Fishmeal plants
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Gasolía (Dieselolía),Gasolía,476.615,2010,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Díselolía,Gasolía,481.67352,2015,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipagasoila (MGO dieselolía),Gasolía,141.760525,2010,Framleiðsla og vinnsla málma,Metal production and processing
Langanesbyggð,Norðurland eystra,Dieselolía,Gasolía,6.21416,2013,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Gasolía á vinnuvélar,Gasolía,4.38036,2014,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Marine dieselolía (MD-olía),Gasolía,538.042,2017,Fiskimjölsverksmiðjur,Fishmeal plants
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipa- og flotaolía,Gasolía,1237.4144065396974,2010,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,"Díselolía (GHG07, GHG08, GHG09)",Gasolía,455.150025,2016,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Dísilolía,Gasolía,453.622435,2012,Framleiðsla og vinnsla málma,Metal production and processing
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Dísilolía,Gasolía,449.41594,2019,Úrgangur og efnamóttaka,Waste and chemical reception
Fjarðabyggð,Austurland,Díselolía,Gasolía,436.75233999999995,2014,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Própan (F.X.),Gas,378.53625,2014,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Gasolia (Dieselolia),Gasolía,457.2217,2011,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Díselolía,Gasolía,435.197935,2018,Framleiðsla og vinnsla málma,Metal production and processing
Reykjanesbær,Suðurnes,Gasolía á vinnuvélar,Gasolía,3.6312699999999998,2014,Fiskimjölsverksmiðjur,Fishmeal plants
Vestmannaeyjabær,Suðurland,Gasolía,Gasolía,432.5,2020,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Díselolía,Gasolía,431.90315000000004,2010,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Dísilolía,Gasolía,428.55041,2017,Framleiðsla og vinnsla málma,Metal production and processing
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Dísilolía,Gasolía,425.682935,2020,Úrgangur og efnamóttaka,Waste and chemical reception
"Fljótsdalshreppur,Múlaþing",Austurland,Gasolía á vinnuvélar,Gasolía,1.73,2014,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,Díselolía,Gasolía,424.373325,2020,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Díselolía,Gasolía,420.965225,2011,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,"Lífdísil - B10 (Xn,N)",Blandað,360.948,2013,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipagasolía (MGO diseloil),Gasolía,91.26961,2011,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipa- og flotaolía,Gasolía,991.3022763366861,2011,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,lífdísil (B10),Blandað,353.064,2012,Framleiðsla og vinnsla málma,Metal production and processing
"Fljótsdalshreppur,Múlaþing",Austurland,Olía,Svartolía,1653.493,2015,Fiskimjölsverksmiðjur,Fishmeal plants
Fjarðabyggð,Austurland,"Marine díselolía (MD), flotaolía",Gasolía,468.97,2012,Fiskimjölsverksmiðjur,Fishmeal plants
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Díselolía,Gasolía,454.541065,2012,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipagasolía (MGO díeselolía),Gasolía,89.43754,2012,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Própangas,Gas,225,2012,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Díselolía,Gasolía,402.658365,2020,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Própán (FX),Gas,345.50925,2013,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipa- og flotaolía,Gasolía,742.6978713974419,2012,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Olía,Svartolía,1052.088,2015,Fiskimjölsverksmiðjur,Fishmeal plants
"Fljótsdalshreppur,Múlaþing",Austurland,Diesel / Flotaolía,Gasolía,337.762605,2019,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Vestmannaeyjabær,Suðurland,DMA-olía,Gasolía,326.74856,2019,Fiskimjölsverksmiðjur,Fishmeal plants
Reykjanesbær,Suðurnes,Svartolía,Svartolía,725.793,2015,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,310.90522,2012,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díeselolía,Gasolía,296.62407,2013,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,296.612825,2014,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,280.85339,2011,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,276.8,2015,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Gasolía,Gasolía,276.8,2020,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,275.096815,2020,Malbikunarstöðvar,Asphalt plants
"Akureyrarbær,Eyjafjarðarsveit,Hörgársveit,Svalbarðsstrandarhreppur,Grýtubakkahreppur",Norðurland eystra,Díselolía,Gasolía,18.91063,2010,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Gasolía,Gasolía,268.15,2018,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,267.14227500000004,2010,Efnaiðnaður,Chemical industry
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Jarðefnaeldsneyti,Gasolía,259.5,2010,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Gasolía,Gasolía,259.5,2017,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,257.46206,2011,Efnaiðnaður,Chemical industry
Fjarðabyggð,Austurland,Gasolía,Gasolía,3.863955,2015,Fiskimjölsverksmiðjur,Fishmeal plants
"Akureyrarbær,Eyjafjarðarsveit,Hörgársveit,Svalbarðsstrandarhreppur,Grýtubakkahreppur",Norðurland eystra,Díselolía,Gasolía,3.03615,2011,Úrgangur og efnamóttaka,Waste and chemical reception
Ísafjarðarbær,Vestfirðir,olíunotkun,Gasolía,44.544905,2015,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,252.47793,2016,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Litað díselolía,Gasolía,251.46415,2019,Úrgangur og efnamóttaka,Waste and chemical reception
"Fljótsdalshreppur,Múlaþing",Austurland,Olíunotkun,Gasolía,246.16689,2018,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
"Akureyrarbær,Eyjafjarðarsveit,Hörgársveit,Svalbarðsstrandarhreppur,Grýtubakkahreppur",Norðurland eystra,Dieselolía,Gasolía,3.54477,2012,Úrgangur og efnamóttaka,Waste and chemical reception
Fjarðabyggð,Austurland,"Marine díselolía (MD), flotaolía",Gasolía,278.53,2011,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Litað díselolía,Gasolía,236.64756500000001,2020,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía lituð,Gasolía,235.562855,2014,Úrgangur og efnamóttaka,Waste and chemical reception
"Fljótsdalshreppur,Múlaþing",Austurland,Gasolía,Gasolía,2.3848049999999996,2015,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díeselolía,Gasolía,233.855345,2014,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,221.17358,2015,Úrgangur og efnamóttaka,Waste and chemical reception
Fjarðabyggð,Austurland,"Marine díselolía MD, flotaolía",Gasolía,247.618,2014,Fiskimjölsverksmiðjur,Fishmeal plants
"Akureyrarbær,Eyjafjarðarsveit,Hörgársveit,Svalbarðsstrandarhreppur,Grýtubakkahreppur",Norðurland eystra,Bensín,Bensín,1.044,2012,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía (lituð),Gasolía,184.10141000000002,2019,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Lituð díselolía,Gasolía,181.149165,2018,Úrgangur og efnamóttaka,Waste and chemical reception
Reykjanesbær,Suðurnes,Gasolía,Gasolía,1.800065,2015,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía lituð,Gasolía,176.517955,2015,Úrgangur og efnamóttaka,Waste and chemical reception
Ísafjarðarbær,Vestfirðir,"Ótilgreind (almennt nefnd sem ""olíunotkun"")",Gasolía,27.3776652,2016,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Vestmannaeyjabær,Suðurland,Svartolía,Svartolía,1600,2016,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,164.838725,2016,Efnaiðnaður,Chemical industry
Vestmannaeyjabær,Suðurland,Skipagasolía,Gasolía,154.29351,2019,Fiskimjölsverksmiðjur,Fishmeal plants
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,150.65186,2012,Efnaiðnaður,Chemical industry
Vesturbyggð,Vestfirðir,Gasolía,Gasolía,150.28682999999998,2012,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Vesturbyggð,Vestfirðir,Gasolía,Gasolía,150.28682999999998,2013,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Lituð díselolía,Gasolía,147.53094000000002,2017,Úrgangur og efnamóttaka,Waste and chemical reception
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,145.77499,2013,Efnaiðnaður,Chemical industry
Fjarðabyggð,Austurland,Díselolía (MDO og DMA),Gasolía,167.8,2019,Fiskimjölsverksmiðjur,Fishmeal plants
Vesturbyggð,Vestfirðir,Gasolía,Gasolía,144.936805,2014,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Fjarðabyggð,Austurland,"Marine díeselolía (MD), flotaolía",Gasolía,167.128,2010,Fiskimjölsverksmiðjur,Fishmeal plants
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Olíunotkun,Gasolía,402.992255,2013,Framleiðsla og vinnsla málma,Metal production and processing
"Fljótsdalshreppur,Múlaþing",Austurland,Diesel/Flotaolía,Gasolía,131.524115,2016,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Fjarðabyggð,Austurland,Diesel/Flotaolía,Gasolía,122.460645,2017,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Skagafjörður,Norðurland vestra,Olía og bensín,Bensín,141.394,2019,Steinefnaiðnaður,Mineral industry
Skagafjörður,Norðurland vestra,Olía og bensín,Bensín,139.225,2020,Steinefnaiðnaður,Mineral industry
Skagafjörður,Norðurland vestra,Flotadieselolía,Gasolía,137.813,2017,Steinefnaiðnaður,Mineral industry
Sveitarfélagið Hornafjörður,Suðurland,Svartolía,Svartolía,135.266,2015,Fiskimjölsverksmiðjur,Fishmeal plants
Skagafjörður,Norðurland vestra,Díselolía,Gasolía,132.233,2018,Steinefnaiðnaður,Mineral industry
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipagasolía (MGO díselolía),Gasolía,75.14255,2013,Framleiðsla og vinnsla málma,Metal production and processing
"Akraneskaupstaður,Hvalfjarðarsveit,Kjósarhreppur",Vesturland,Skipa- og flotaolía,Gasolía,671.0449727307423,2013,Framleiðsla og vinnsla málma,Metal production and processing
Fjarðabyggð,Austurland,Díselolía (MDO og DMA),Gasolía,122.181,2020,Fiskimjölsverksmiðjur,Fishmeal plants
Skagafjörður,Norðurland vestra,Flotadíeselolía,Gasolía,121.935,2015,Steinefnaiðnaður,Mineral industry
Skagafjörður,Norðurland vestra,Olía og bensín samtals,Bensín,119.596,2016,Steinefnaiðnaður,Mineral industry
Vesturbyggð,Vestfirðir,Olía,Gasolía,102.42811,2016,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
Ísafjarðarbær,Vestfirðir,"Ótilgreind (almennt nefnt sem ""olíunotkun"")",Gasolía,39.322311799999994,2017,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
"Garðabær,Hafnarfjarðarkaupstaður,Kópavogsbær,Reykjavíkurborg,Seltjarnarnesbær",Höfuðborgarsvæðið,Díselolía,Gasolía,98.37817999999999,2019,Úrgangur og efnamóttaka,Waste and chemical reception
Vesturbyggð,Vestfirðir,Dieselolía,Gasolía,97.562485,2020,Eldi sjávar- og ferskvatnslífvera,Marine and freshwater aquaculture
